Base Path: /home/ltato/LiteScript_online_playground/playground/js
Main Module: ./online
Out Base Path: /home/ltato/LiteScript_online_playground/playground/js
addMember: 'length' to 'Object'
addMember: 'name' to 'Object'
addMember: 'arguments' to 'Object'
addMember: 'caller' to 'Object'
addMember: 'prototype' to 'Object'
addMember: 'constructor' to 'prototype'
addMember: 'toString' to 'prototype'
addMember: 'toLocaleString' to 'prototype'
addMember: 'valueOf' to 'prototype'
addMember: 'hasOwnProperty' to 'prototype'
addMember: 'isPrototypeOf' to 'prototype'
addMember: 'propertyIsEnumerable' to 'prototype'
addMember: '__defineGetter__' to 'prototype'
addMember: '__lookupGetter__' to 'prototype'
addMember: '__defineSetter__' to 'prototype'
addMember: '__lookupSetter__' to 'prototype'
addMember: 'keys' to 'Object'
addMember: 'create' to 'Object'
addMember: 'defineProperty' to 'Object'
addMember: 'defineProperties' to 'Object'
addMember: 'freeze' to 'Object'
addMember: 'getPrototypeOf' to 'Object'
addMember: 'getOwnPropertyDescriptor' to 'Object'
addMember: 'getOwnPropertyNames' to 'Object'
addMember: 'is' to 'Object'
addMember: 'isExtensible' to 'Object'
addMember: 'isFrozen' to 'Object'
addMember: 'isSealed' to 'Object'
addMember: 'preventExtensions' to 'Object'
addMember: 'seal' to 'Object'
addMember: 'name' to 'constructor'
addMember: 'length' to 'String'
addMember: 'name' to 'String'
addMember: 'arguments' to 'String'
addMember: 'caller' to 'String'
addMember: 'prototype' to 'String'
addMember: 'length' to 'prototype'
addMember: 'constructor' to 'prototype'
addMember: 'valueOf' to 'prototype'
addMember: 'toString' to 'prototype'
addMember: 'charAt' to 'prototype'
addMember: 'charCodeAt' to 'prototype'
addMember: 'concat' to 'prototype'
addMember: 'indexOf' to 'prototype'
addMember: 'lastIndexOf' to 'prototype'
addMember: 'localeCompare' to 'prototype'
addMember: 'match' to 'prototype'
addMember: 'replace' to 'prototype'
addMember: 'search' to 'prototype'
addMember: 'slice' to 'prototype'
addMember: 'split' to 'prototype'
addMember: 'substring' to 'prototype'
addMember: 'substr' to 'prototype'
addMember: 'toLowerCase' to 'prototype'
addMember: 'toLocaleLowerCase' to 'prototype'
addMember: 'toUpperCase' to 'prototype'
addMember: 'toLocaleUpperCase' to 'prototype'
addMember: 'trim' to 'prototype'
addMember: 'trimLeft' to 'prototype'
addMember: 'trimRight' to 'prototype'
addMember: 'link' to 'prototype'
addMember: 'anchor' to 'prototype'
addMember: 'fontcolor' to 'prototype'
addMember: 'fontsize' to 'prototype'
addMember: 'big' to 'prototype'
addMember: 'blink' to 'prototype'
addMember: 'bold' to 'prototype'
addMember: 'fixed' to 'prototype'
addMember: 'italics' to 'prototype'
addMember: 'small' to 'prototype'
addMember: 'strike' to 'prototype'
addMember: 'sub' to 'prototype'
addMember: 'sup' to 'prototype'
addMember: 'fromCharCode' to 'String'
addMember: 'length' to 'Function'
addMember: 'name' to 'Function'
addMember: 'arguments' to 'Function'
addMember: 'caller' to 'Function'
addMember: 'prototype' to 'Function'
addMember: 'length' to 'prototype'
addMember: 'name' to 'prototype'
addMember: 'arguments' to 'prototype'
addMember: 'caller' to 'prototype'
